hedge,sentence,usage1,usage2
"poco","Yo envie el pdf ayer muy tarde, despues de las doce de la noche, así que supongo que <strong>poco</strong> a poco irán solucionandolo...","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"especulo","El artículo está muy bien.A ver en economía no soy experto,lo que si me parece que la caída de nuestro país está relacionada de alguna manera con la idiosincracia y picaresca.Me explico(siempre desde mi modesta ignorancia en temas de economía)nuestro país tuvo el boom inmobilirario,se <strong>especulo</strong> hasta límites insospechables,se han pagado barbaridades por pisos de 70 metros en ciudades normales como la mía (Córdoba)y no s eha hehco una previsión de que un día habría más oferta que demanda y los precios caería.ese","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"no se","<strong>no se</strong> si hay más opciones.","No sé si sea la mejor idea.","Esto no se puede hacer en menos de una hora."
"aproximadamente","#88 <strong>aproximadamente</strong> tres cuartos de lo que ganaría en España (mas beneficios sociales), la electricidad, no te se decir la proporción, me cobran 15 euros al mes por agua, luz e internet, haz cálculos.","La pared mide aproximadamente 15 metros.","Otro"
"podrias","Caluire et Cuire me interesaría y Villeurbane... Pero no conozco más...me <strong>podrias</strong> decir donde podría también mirar??","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"deberia",", en Berlin hay por lo menos dos buffetes de abogados especializados en derecho de familia que hablan aleman, o sea que el idioma no <strong>deberia</strong> haber sido un handicap para la defensa en un juicio.","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"seguro","<strong>seguro</strong> que tenias excelentes vistas.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"varios","También se podría quedar entre <strong>varios</strong> para alquilar un piso entero ya que sería mucho más barato, por mi parte y la de mi amigo no habría ningún problema, sería para marzo ya, para ir mirando en Febrero.","Tenemos varios servicios disponibles.","Otro"
"debe","No quiero que ninguna madre, ningún padre se lo tomen a mal, ya que este error se <strong>debe</strong> en gran parte a la falta de tiempo.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"diria","Como <strong>diria</strong> Marissa:","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"relativamente","Crearon un efecto llamada, dieron la ensenhanza de que si vienes ilegal siempre Tio Sam te puede regularizar mas tarde, y fue un agravio comparativo a la gente legal (aunque entonces era <strong>relativamente</strong> mas facil venir aqui a vivir y trabajar).","Esto debería de ser relativamente sencillo.","Otro"
"hay quien","ahi os quedais con vuestro inglés californiano y vuestras payasadas porque no <strong>hay quien</strong> se trague esto :DDDD","Hay quien dice que murió ahogado.","Otro"
"medio","No como en españa que por cada viaje tienes que tikar,o pagar un euro o euro y <strong>medio</strong> dependiendo de la ciudad.","Juan está medio loco.","Mi asiento es el de en medio."
"esencialmente","Así, un tema <strong>esencialmente</strong> jurídico-administrativo, se convierte en algo capital y trascendente.","La película es esencialmente una parodia.","Otro"
"alguna","Con respeto a todas las opiniones... leí <strong>alguna</strong> que otra tontería.","Alguna pluma habrá caído por la abertura.","Otro"
"tecnicamente","<strong>tecnicamente</strong> seguimos en Otoño.","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"encuentro","vivo en londres y me <strong>encuentro</strong> en Granada! el tema es el siguiente, me han regalado un queso!","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"algunos","De hecho, para <strong>algunos</strong> hombres que conozco, es una razon suficiente para ellos para romper contigo si no te quieres cambiar el apellido.","Algunos dicen que murió ahogado.","Otro"
"casi","CatKatze, igual que los lobos y los leones y casi todas las grandes ""bestias"" se extinguieron <strong>casi</strong> prácticamente en toda Europa, en España han prevalecido estos toros de lidia por nuestra tradición taurina.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"gran parte","En cuanto a Catalunya, la burguesía catalana (CiU y compañía) son católicos militantes y <strong>gran parte</strong> de su esencia pasa por el icono de Montserrat, que en su día (y todavía), fue corazón de ""fe nacionalista"".","Una gran parte de ustedes me conoce.","Otro"
"tecnicamente","<strong>tecnicamente</strong> les beneficiaria pues se ahorrarian estos gastos ¿no?","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"casi","<strong>casi</strong> que mejor que te haga una visita y se la compre de paso, así ya tiene excusa para ir ;)","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"deberias","Desgraciadamente tuve una experiencia similar con un ""conocido"" cuyo tema del ""dia"", de la ""tarde"", de la ""noche"" de la ""semana pasada"" y de la ""proxima semana"" era la Globalizacion; estoy de acuerdo contigo en que este tipo de personas tienen la educacion debajo del sobaco, pero creo que <strong>deberias</strong> decirle claramente que es un tema al que le tienes alergia y que haga el favor de no provocarte mas sarpullidos.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"gran parte","Creo que todo este rechazo al mundo árabe viene, en <strong>gran parte</strong>, por los medios de comunicación, que nos venden una imagen que desde luego, asusta si no sabes nada de la cultura y te lo crees todo...","Una gran parte de ustedes me conoce.","Otro"
"alguien","si <strong>alguien</strong> me pone al dia.....","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"casi","Bueno, pero de los alemanes si me quejo: antes de ayer iban a venir a arreglar las baldosas de la terraza, porque al arreglar la tuberia las dejaron sueltas y <strong>casi</strong> me dejo el tobillo ahí (lo que me faltaba pal duro es que me tengan que escayolar....).","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"parece","Por lo que veo en google maps, <strong>parece</strong> un poligono industrial y eso es lo que me echa mas para atras para ir al Bankhall Hotel.","Me parece que hay que esperar.","Te pareces a tu padre en esta foto."
"debe","Son muchos los que, después de ver cómo está circulando por la Red un vídeo erótico de la concejal del Ayuntamiento de Los Yébenes, se preguntan quién <strong>debe</strong> 'cargar' con la responsabilidad del delito.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"tecnicamente","<strong>tecnicamente</strong>, pueden hacerlo, pero no conozco de ningún caso al que se la hayan pedido.","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"algun","hola Tania!yo vivo en Girona a una hora de bcn, seguramente en junio voy a ir a pasar unos días por amsterdam, tu sabes <strong>algun</strong> pueblecito que este por esa zona que no deba perderme?","Algún lápiz habrá caído por la abertura.","Otro"
"aparentemente","Cuando enviamos la petición yo estaba viviendo en Glasgow y sabiamos de antemano que para Junio me mudaría a España para arreglar cosas y pasar un tiempo con mi familia y teniamos entendido que se podia hacer un cambio de dirección con un formulario y USCIS lo adaptaría.Fué despues de aceptar la petición cuando nuestro abogado nos comunicó que <strong>aparentemente</strong> la ley había cambiado y no se podia cambiar de pais por lo que no hizo el cambio oficial y nos dijo que una vez enviara la documentación a Londres con la dirección de España no habría ningun problema.Nunca nos advirtió de que la carta con la entrevista la enviarian a Glasgow.","Aparentemente habrá un concierto esta tarde.","Otro"
"bastantes","Lo de ganar es un decir, como sabéis, porque para que me la den tengo que pasar <strong>bastantes</strong> trámites aún.","Hay bastantes cosas por hacer.","Otro"
"aproximadamente","cuanto es lo que suele tardar <strong>aproximadamente</strong> la J1?","La pared mide aproximadamente 15 metros.","Otro"
"tecnicamente","<strong>tecnicamente</strong>, cuanto mas oscura tengas la piel mas olerá tu sudor ya que la pigmentación afecta al sudor (por lo cual en un día caluroso en igualdad de condiciones una persona de piel oscura desprenderá un olor mas fuerte).","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"varios","Decir que la conozco <strong>varios</strong> anos y hace un mes justo un mes nos ha visitado y se ha quedado a dormir y comer...Como se entiende eso??","Tenemos varios servicios disponibles.","Otro"
"multiples","Mi sorpresa es que cuando he recibido mi pasaporte en casa he visto que tengo un visa B1-B2 (turista) valida durante 10 años para <strong>multiples</strong> salidas y entradas en los EEUU.","Tenemos múltiples servicios disponibles.","Otro"
"diria","Porque tal vez no caigáis en la cuenta de que puede ser un maltratador tan ""normal"" como cualquiera de los que haya en España: puede ser un buen trabajador, simpático con sus compañeros y de quien ""nadie lo <strong>diria</strong>"".","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"especulo","Nunca he estado, así que solo <strong>especulo</strong>.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"hay quien","Pienso que <strong>hay quien</strong> vive para trabajar y que carece de una vida propia por lo que el trabajo ocupa el primer lugar en su escala de valores, y otros que son profesionales de prestigio reconocido, que disfrutan tanto ejerciendo su profesión que se olvidan de que tienen una familia.","Hay quien dice que murió ahogado.","Otro"
"rara vez","Aquí en UK mucha Act 1976, mucho ser políticamente correcto de boquilla y demás pollas en vinagre, pero al final en los bares <strong>rara vez</strong> te encuentas a pakistaníes y white british tomando unas pintas juntos (todo muy polite, pero sin mescolanzas).","Rara vez ceno en ese restaurante.","Otro"
"por decir algo","- El seguro de la casa (fundamental) puede variar, ponle unas 1000 coronas al año <strong>por decir algo</strong>.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"alguien","Lo que planteas, Guille, es un tema que siempre me ha llamado la atención; yo lo he observado en esto de la movilidad, pero me atrevería a decir que también en cualquier otra cuestión en cuanto te sales de un comportamiento “gregario”: A la gente, en general, no le gusta que sus cercanos hagan o piensen cosas distintas de las que hace la mayoría en su entorno inmediato; más que envidia, que se ha mencionado, yo creo que lo que se suscita es inseguridad (Si yo baso mi bienestar o comodidad personal en el convencimiento de que mi forma de vida es la mejor posible en mis circunstancias concretas, si <strong>alguien</strong> en las mismas circunstancias es feliz de otra manera me obligará a replantearme mis principios.","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
